"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000126016",404.398400122558,-2.49800512613263,0.332794446811283,-7.50615026803368,6.08915173158614e-14,6.98637901324788e-12,"AMOT"
"ENSG00000170214",201.751000183794,3.6767992014497,0.492270269421774,7.46906614077772,8.07659386246589e-14,9.19699353737187e-12,"ADRA1B"
"ENSG00000169744",723.01402678599,-1.33060601513323,0.178679500182907,-7.44688682121418,9.55685373492852e-14,1.0801384314589e-11,"LDB2"
"ENSG00000131871",812.424686783872,0.674894965659885,0.0907997237982544,7.43278654855181,1.06333419176276e-13,1.19290343216645e-11,"SELENOS"
"ENSG00000147119",456.95140071251,1.57288249129369,0.211880047617477,7.4234573239918,1.14101944635932e-13,1.27064261140529e-11,"CHST7"
"ENSG00000148848",1381.85270141484,-1.86991355434208,0.252187565416269,-7.41477301331464,1.21833288252798e-13,1.34683587634206e-11,"ADAM12"
"ENSG00000020577",3148.94122875977,1.2122308308622,0.164178823874265,7.38360040750798,1.54065380297625e-13,1.69081172797647e-11,"SAMD4A"
"ENSG00000196932",76.8390518792512,-2.0012927495387,0.271111883321667,-7.38179649308925,1.56167776608444e-13,1.7015546595215e-11,"TMEM26"
"ENSG00000138074",455.640505436127,1.16383966626,0.158001408422494,7.36600817600247,1.75813044295702e-13,1.90192039704171e-11,"SLC5A6"
"ENSG00000146006",70.6309989496603,-4.00377670164842,0.544229404859879,-7.35678128725745,1.88397648154802e-13,2.00935378965104e-11,"LRRTM2"
"ENSG00000174306",3453.200286637,1.10706654811767,0.150468513441284,7.35746318481221,1.87438077040964e-13,2.00935378965104e-11,"ZHX3"
"ENSG00000042286",599.809958530685,0.713437641124003,0.0972297731673869,7.33764584532947,2.17383463096464e-13,2.30228849552164e-11,"AIFM2"
"ENSG00000164105",538.355706819132,1.20854583724487,0.16527699356414,7.31224480300014,2.62715912165188e-13,2.76307811787623e-11,"SAP30"
"ENSG00000067369",2102.96945349668,-0.714245802530672,0.0977645060297602,-7.30577825773753,2.75666463038648e-13,2.87928867773815e-11,"TP53BP1"
"ENSG00000116132",5567.24077353662,-0.75868815370218,0.104311304282368,-7.27330713503906,3.50791501757154e-13,3.63886116035075e-11,"PRRX1"
"ENSG00000277443",5819.2400512788,-1.230130875227,0.16972413421507,-7.24782530732023,4.23516351544674e-13,4.36337084635652e-11,"MARCKS"
"ENSG00000087448",1029.52932093845,1.03300404765287,0.142716666889364,7.23814583235516,4.54860209442004e-13,4.65463369729672e-11,"KLHL42"
"ENSG00000114270",1600.16543561964,1.28744596325467,0.178157141094807,7.22646285937845,4.95736121244742e-13,5.03887486996753e-11,"COL7A1"
"ENSG00000134318",4532.90173037411,0.782466577827204,0.10831129350238,7.2242381429044,5.03918843350359e-13,5.08790058836079e-11,"ROCK2"
"ENSG00000108960",1740.19798309104,1.65434310070975,0.230198797074912,7.18658447277371,6.64321954046824e-13,6.66301721459547e-11,"MMD"
"ENSG00000165802",1607.02123231608,0.9734059769027,0.136293225232163,7.14199825592647,9.19837661477035e-13,9.16509301517743e-11,"NSMF"
"ENSG00000233608",4677.10119351861,0.73121822847819,0.102654520076452,7.12309821266139,1.05527566512737e-12,1.04458496394471e-10,"TWIST2"
"ENSG00000155962",399.773301149283,-1.12228679050795,0.15770743629694,-7.11625790679172,1.10896697958635e-12,1.09060421466463e-10,"CLIC2"
"ENSG00000172465",451.847687171403,1.01171835579185,0.142930414869445,7.07839795131059,1.45830451829589e-12,1.42490464061879e-10,"TCEAL1"
